grammar,estimand,intervention,regime,scenario,horizon,eps,oracle_effect,effects_by_alpha,oracle_sign,signs_by_alpha,response_activation,effect_expressed,activation_without_effect,status,notes,spread,T04_strict_alpha,T04_strict_direction,T04_strict_illegal_promotion,alpha1_alpha,alpha1_direction,alpha1_illegal_promotion
osahr05_claim_v0,goal_utility_ratio,semantic_vs_throughput,high_mobility,90100,3.0,0.02,0.04283870967741932,"{'0.00': 0.060055797733217176, '0.25': 0.060055797733217176, '0.50': -0.036263572841133795, '1.00': -0.03356051948051941}",1,"{'0.00': 1, '0.25': 1, '0.50': -1, '1.00': -1}",False,True,False,hold_unresolved,residual signs disagree,0.09631937057435097,1.0,mismatch,False,1.0,mismatch,False
osahr05_claim_v0,goal_utility_ratio,semantic_vs_throughput,high_mobility,90101,3.0,0.02,0.0,"{'0.00': -0.04542017139090304, '0.25': 0.0, '0.50': 0.0, '1.00': 0.0}",0,"{'0.00': -1, '0.25': 0, '0.50': 0, '1.00': 0}",False,False,False,outcome_unknown,oracle contrast not expressed,0.04542017139090304,1.0,unknown,False,1.0,unknown,False
osahr05_claim_v0,goal_utility_ratio,semantic_vs_throughput,high_mobility,90102,3.0,0.02,0.0,"{'0.00': 0.0, '0.25': 0.0, '0.50': 0.0, '1.00': 0.0}",0,"{'0.00': 0, '0.25': 0, '0.50': 0, '1.00': 0}",False,False,False,outcome_unknown,oracle contrast not expressed,0.0,1.0,unknown,False,1.0,unknown,False
osahr05_claim_v0,goal_utility_ratio,semantic_vs_throughput,high_mobility,90103,3.0,0.02,0.0,"{'0.00': 0.0, '0.25': 0.0, '0.50': 0.17575757575757567, '1.00': 0.0}",0,"{'0.00': 0, '0.25': 0, '0.50': 1, '1.00': 0}",False,False,False,outcome_unknown,oracle contrast not expressed,0.17575757575757567,1.0,unknown,False,1.0,unknown,False
osahr05_claim_v0,goal_utility_ratio,semantic_vs_throughput,high_mobility,90104,3.0,0.02,0.059495199537304755,"{'0.00': 0.08495278871483125, '0.25': 0.028743311860553233, '0.50': 0.0, '1.00': -0.07541545003543593}",1,"{'0.00': 1, '0.25': 1, '0.50': 0, '1.00': -1}",True,True,False,hold_unresolved,residual signs disagree,0.16036823875026718,1.0,mismatch,False,1.0,mismatch,False
osahr05_claim_v0,goal_utility_ratio,semantic_vs_throughput,high_stress,90200,3.0,0.02,-0.03800895997733683,"{'0.00': -0.07649495327102801, '0.25': -0.08507220035778168, '0.50': -0.09087627906976742, '1.00': 0.0}",-1,"{'0.00': -1, '0.25': -1, '0.50': -1, '1.00': 0}",True,True,False,hold_unresolved,residual signs disagree,0.09087627906976742,0.25,match,True,1.0,unknown,False
osahr05_claim_v0,goal_utility_ratio,semantic_vs_throughput,high_stress,90201,3.0,0.02,0.0,"{'0.00': 0.0, '0.25': 0.0, '0.50': 0.0, '1.00': 0.0}",0,"{'0.00': 0, '0.25': 0, '0.50': 0, '1.00': 0}",False,False,False,outcome_unknown,oracle contrast not expressed,0.0,0.25,unknown,False,1.0,unknown,False
osahr05_claim_v0,goal_utility_ratio,semantic_vs_throughput,high_stress,90202,3.0,0.02,0.17576166422403383,"{'0.00': -0.03543272727272717, '0.25': -0.0273478787878787, '0.50': 0.0, '1.00': 0.0}",1,"{'0.00': -1, '0.25': -1, '0.50': 0, '1.00': 0}",True,True,False,hold_unresolved,residual signs disagree,0.03543272727272717,0.25,mismatch,False,1.0,unknown,False
osahr05_claim_v0,goal_utility_ratio,semantic_vs_throughput,high_stress,90203,3.0,0.02,-0.0015733333333332045,"{'0.00': -0.031096532673675514, '0.25': -0.10702154951950138, '0.50': -0.0009038132009561162, '1.00': -0.013444353741496606}",0,"{'0.00': -1, '0.25': -1, '0.50': 0, '1.00': 0}",False,False,False,outcome_unknown,oracle contrast not expressed,0.10611773631854526,0.25,unknown,False,1.0,unknown,False
osahr05_claim_v0,goal_utility_ratio,semantic_vs_throughput,high_stress,90204,3.0,0.02,0.0,"{'0.00': 0.0, '0.25': 0.0, '0.50': 0.0, '1.00': 0.0}",0,"{'0.00': 0, '0.25': 0, '0.50': 0, '1.00': 0}",False,False,False,outcome_unknown,oracle contrast not expressed,0.0,0.25,unknown,False,1.0,unknown,False
osahr05_claim_v0,goal_utility_ratio,semantic_vs_throughput,id,90000,3.0,0.02,0.0,"{'0.00': 0.0, '0.25': 0.0, '0.50': 0.0, '1.00': 0.0}",0,"{'0.00': 0, '0.25': 0, '0.50': 0, '1.00': 0}",False,False,False,outcome_unknown,oracle contrast not expressed,0.0,0.0,unknown,False,1.0,unknown,False
osahr05_claim_v0,goal_utility_ratio,semantic_vs_throughput,id,90001,3.0,0.02,0.12992000000000004,"{'0.00': 0.0, '0.25': 0.0, '0.50': 0.0, '1.00': 0.12992000000000004}",1,"{'0.00': 0, '0.25': 0, '0.50': 0, '1.00': 1}",True,True,False,hold_unresolved,residual signs disagree,0.12992000000000004,0.0,unknown,False,1.0,match,True
osahr05_claim_v0,goal_utility_ratio,semantic_vs_throughput,id,90002,3.0,0.02,0.0,"{'0.00': 0.0, '0.25': 0.0, '0.50': 0.0, '1.00': 0.0}",0,"{'0.00': 0, '0.25': 0, '0.50': 0, '1.00': 0}",False,False,False,outcome_unknown,oracle contrast not expressed,0.0,0.0,unknown,False,1.0,unknown,False
osahr05_claim_v0,goal_utility_ratio,semantic_vs_throughput,id,90003,3.0,0.02,0.07747878787878781,"{'0.00': 0.08048484848484838, '0.25': 0.08048484848484838, '0.50': 0.08048484848484838, '1.00': 0.08048484848484838}",1,"{'0.00': 1, '0.25': 1, '0.50': 1, '1.00': 1}",False,True,False,admit,all hypotheses and oracle agree,0.0,0.0,match,False,1.0,match,False
osahr05_claim_v0,goal_utility_ratio,semantic_vs_throughput,id,90004,3.0,0.02,0.0,"{'0.00': 0.0, '0.25': 0.0, '0.50': 0.0, '1.00': 0.0}",0,"{'0.00': 0, '0.25': 0, '0.50': 0, '1.00': 0}",False,False,False,outcome_unknown,oracle contrast not expressed,0.0,0.0,unknown,False,1.0,unknown,False
osahr05_claim_v0,goal_utility_ratio,semantic_vs_throughput,weak_channel,90300,3.0,0.02,-0.17444036036036048,"{'0.00': 0.0, '0.25': -0.060957826541274907, '0.50': -0.09502702702702714, '1.00': -0.09502702702702714}",-1,"{'0.00': 0, '0.25': -1, '0.50': -1, '1.00': -1}",True,True,False,hold_unresolved,residual signs disagree,0.09502702702702714,0.0,unknown,False,1.0,match,True
osahr05_claim_v0,goal_utility_ratio,semantic_vs_throughput,weak_channel,90301,3.0,0.02,-0.03474803836094176,"{'0.00': -0.01871924468922126, '0.25': -0.01871924468922126, '0.50': -0.03932802517702616, '1.00': -0.03932802517702616}",-1,"{'0.00': 0, '0.25': 0, '0.50': -1, '1.00': -1}",True,True,False,hold_unresolved,residual signs disagree,0.0206087804878049,0.0,unknown,False,1.0,match,True
osahr05_claim_v0,goal_utility_ratio,semantic_vs_throughput,weak_channel,90302,3.0,0.02,0.020121212121211984,"{'0.00': 0.021419354838709825, '0.25': 0.020750000000000046, '0.50': 0.021419354838709825, '1.00': 0.041954914004913996}",1,"{'0.00': 1, '0.25': 1, '0.50': 1, '1.00': 1}",False,True,False,admit,all hypotheses and oracle agree,0.02120491400491395,0.0,match,False,1.0,match,False
osahr05_claim_v0,goal_utility_ratio,semantic_vs_throughput,weak_channel,90303,3.0,0.02,0.21684636734693885,"{'0.00': 0.0, '0.25': 0.0, '0.50': 0.0, '1.00': 0.0}",1,"{'0.00': 0, '0.25': 0, '0.50': 0, '1.00': 0}",False,True,False,reject,ensemble silent while oracle expressed,0.0,0.0,unknown,False,1.0,unknown,False
osahr05_claim_v0,goal_utility_ratio,semantic_vs_throughput,weak_channel,90304,3.0,0.02,0.1570041076165214,"{'0.00': -0.03384331034482768, '0.25': -0.08640256688676945, '0.50': -0.07866813793103455, '1.00': -0.0909571631205674}",1,"{'0.00': -1, '0.25': -1, '0.50': -1, '1.00': -1}",True,True,False,reject,"ensemble agrees, disagrees with oracle",0.057113852775739715,0.0,mismatch,False,1.0,mismatch,False
